epoch	train_loss	train_acc	test_loss	test_acc	width	lr	nonlin	criterion	parametrization
15	0.598382	0.803760	1.473583	0.543400	2048	0.001953	relu	xent	sp
16	0.543566	0.823480	1.479471	0.542800	2048	0.001953	relu	xent	sp
17	0.486513	0.844060	1.598762	0.527000	2048	0.001953	relu	xent	sp
18	0.447965	0.857060	1.593250	0.536000	2048	0.001953	relu	xent	sp
19	0.396043	0.876860	1.622237	0.543500	2048	0.001953	relu	xent	sp
20	0.355523	0.890760	1.635282	0.549100	2048	0.001953	relu	xent	sp
1	1.804962	0.357920	1.585594	0.436700	256	0.003906	relu	xent	sp
2	1.524982	0.463300	1.476288	0.482100	256	0.003906	relu	xent	sp
3	1.410274	0.502700	1.431513	0.493200	256	0.003906	relu	xent	sp
4	1.329626	0.533620	1.394026	0.514800	256	0.003906	relu	xent	sp
5	1.263143	0.556400	1.381096	0.517800	256	0.003906	relu	xent	sp
6	1.205531	0.579620	1.365650	0.522400	256	0.003906	relu	xent	sp
7	1.151457	0.595500	1.376540	0.523500	256	0.003906	relu	xent	sp
8	1.096115	0.617520	1.364979	0.531100	256	0.003906	relu	xent	sp
9	1.051118	0.635520	1.365270	0.527100	256	0.003906	relu	xent	sp
10	1.002174	0.649660	1.384980	0.527700	256	0.003906	relu	xent	sp
11	0.958463	0.664560	1.377680	0.536900	256	0.003906	relu	xent	sp
12	0.916604	0.679600	1.435162	0.527200	256	0.003906	relu	xent	sp
13	0.870041	0.698960	1.442497	0.524600	256	0.003906	relu	xent	sp
14	0.828871	0.710860	1.437997	0.535800	256	0.003906	relu	xent	sp
15	0.787572	0.725680	1.464381	0.535700	256	0.003906	relu	xent	sp
16	0.747662	0.738880	1.511012	0.533800	256	0.003906	relu	xent	sp
17	0.706781	0.753300	1.607080	0.525100	256	0.003906	relu	xent	sp
18	0.666773	0.769480	1.580637	0.531500	256	0.003906	relu	xent	sp
19	0.631881	0.782980	1.604315	0.528300	256	0.003906	relu	xent	sp
20	0.598922	0.793940	1.660470	0.533100	256	0.003906	relu	xent	sp
1	1.715410	0.395240	1.527094	0.461600	2048	0.003906	relu	xent	sp
2	1.452179	0.490220	1.456892	0.487900	2048	0.003906	relu	xent	sp
3	1.323979	0.535100	1.383236	0.513900	2048	0.003906	relu	xent	sp
4	1.217121	0.575600	1.358602	0.523000	2048	0.003906	relu	xent	sp
5	1.119327	0.611200	1.359138	0.530800	2048	0.003906	relu	xent	sp
6	1.029261	0.644780	1.346384	0.534700	2048	0.003906	relu	xent	sp
7	0.937464	0.675720	1.370392	0.534400	2048	0.003906	relu	xent	sp
8	0.854861	0.708860	1.372890	0.547700	2048	0.003906	relu	xent	sp
9	0.768555	0.737940	1.406023	0.540300	2048	0.003906	relu	xent	sp
10	0.684336	0.768220	1.418332	0.545000	2048	0.003906	relu	xent	sp
11	0.607937	0.797820	1.462327	0.554300	2048	0.003906	relu	xent	sp
12	0.534403	0.822200	1.493536	0.550000	2048	0.003906	relu	xent	sp
13	0.455190	0.851240	1.567527	0.536800	2048	0.003906	relu	xent	sp
14	0.397463	0.871700	1.601969	0.545900	2048	0.003906	relu	xent	sp
15	0.330033	0.896340	1.668158	0.557600	2048	0.003906	relu	xent	sp
16	0.279544	0.913640	1.751259	0.543200	2048	0.003906	relu	xent	sp
17	0.236586	0.930760	1.758636	0.561600	2048	0.003906	relu	xent	sp
18	0.189435	0.946420	1.873066	0.542600	2048	0.003906	relu	xent	sp
19	0.164424	0.953460	1.914292	0.557000	2048	0.003906	relu	xent	sp
20	0.127684	0.966520	1.949391	0.562500	2048	0.003906	relu	xent	sp
1	1.715657	0.388740	1.518895	0.464100	256	0.007812	relu	xent	sp
2	1.461592	0.484680	1.491649	0.467000	256	0.007812	relu	xent	sp
3	1.350011	0.525360	1.387270	0.511400	256	0.007812	relu	xent	sp
4	1.267643	0.554700	1.383625	0.513200	256	0.007812	relu	xent	sp
5	1.195973	0.579960	1.410735	0.504600	256	0.007812	relu	xent	sp
6	1.132463	0.603000	1.386827	0.524000	256	0.007812	relu	xent	sp
7	1.079582	0.622020	1.395184	0.524400	256	0.007812	relu	xent	sp
8	1.012294	0.644100	1.432679	0.516100	256	0.007812	relu	xent	sp
9	0.959976	0.661180	1.425084	0.531300	256	0.007812	relu	xent	sp
10	0.906034	0.682920	1.455145	0.522200	256	0.007812	relu	xent	sp
11	0.858431	0.697780	1.484448	0.531600	256	0.007812	relu	xent	sp
12	0.801878	0.716080	1.522882	0.526200	256	0.007812	relu	xent	sp
13	0.759584	0.735240	1.559318	0.527600	256	0.007812	relu	xent	sp
14	0.708323	0.750820	1.647331	0.518500	256	0.007812	relu	xent	sp
15	0.663171	0.766480	1.665358	0.525900	256	0.007812	relu	xent	sp
16	0.632122	0.776720	1.708933	0.525700	256	0.007812	relu	xent	sp
17	0.590714	0.792940	1.776647	0.521400	256	0.007812	relu	xent	sp
18	0.554456	0.804660	1.816958	0.519900	256	0.007812	relu	xent	sp
19	0.510248	0.820180	1.918966	0.525400	256	0.007812	relu	xent	sp
20	0.471478	0.833800	2.032878	0.521900	256	0.007812	relu	xent	sp
1	1.647375	0.414300	1.480027	0.480000	2048	0.007812	relu	xent	sp
2	1.388319	0.511700	1.389034	0.513500	2048	0.007812	relu	xent	sp
3	1.248003	0.563520	1.363485	0.521800	2048	0.007812	relu	xent	sp
4	1.130292	0.607120	1.352591	0.533200	2048	0.007812	relu	xent	sp
5	1.020933	0.643340	1.335957	0.540800	2048	0.007812	relu	xent	sp
6	0.906443	0.686780	1.325577	0.552800	2048	0.007812	relu	xent	sp
7	0.800436	0.723320	1.392507	0.547900	2048	0.007812	relu	xent	sp
8	0.703212	0.757440	1.426365	0.548100	2048	0.007812	relu	xent	sp
9	0.593902	0.798440	1.514735	0.544100	2048	0.007812	relu	xent	sp
10	0.491751	0.834700	1.579719	0.542100	2048	0.007812	relu	xent	sp
11	0.409096	0.863880	1.643448	0.544700	2048	0.007812	relu	xent	sp
12	0.341237	0.887040	1.711651	0.550900	2048	0.007812	relu	xent	sp
13	0.276845	0.909960	1.773489	0.551500	2048	0.007812	relu	xent	sp
14	0.215209	0.934060	1.915640	0.552600	2048	0.007812	relu	xent	sp
15	0.177070	0.945120	1.991430	0.555200	2048	0.007812	relu	xent	sp
16	0.138802	0.958400	2.055692	0.558200	2048	0.007812	relu	xent	sp
17	0.110775	0.967900	2.173070	0.554500	2048	0.007812	relu	xent	sp
18	0.090593	0.974880	2.185531	0.560400	2048	0.007812	relu	xent	sp
19	0.060256	0.985000	2.264974	0.566600	2048	0.007812	relu	xent	sp
20	0.038647	0.991100	2.353715	0.572600	2048	0.007812	relu	xent	sp
1	1.678343	0.400800	1.544987	0.448300	256	0.015625	relu	xent	sp
2	1.453218	0.485220	1.463042	0.479500	256	0.015625	relu	xent	sp
3	1.353089	0.522500	1.423407	0.503300	256	0.015625	relu	xent	sp
4	1.270230	0.551660	1.400210	0.510800	256	0.015625	relu	xent	sp
5	1.205374	0.575020	1.400370	0.512000	256	0.015625	relu	xent	sp
6	1.142301	0.593900	1.437052	0.507900	256	0.015625	relu	xent	sp
7	1.079642	0.616260	1.414891	0.532300	256	0.015625	relu	xent	sp
8	1.025145	0.637940	1.473414	0.512800	256	0.015625	relu	xent	sp
9	0.970926	0.655680	1.456259	0.526800	256	0.015625	relu	xent	sp
10	0.922308	0.669940	1.536581	0.508500	256	0.015625	relu	xent	sp
11	0.871602	0.689860	1.581966	0.525200	256	0.015625	relu	xent	sp
12	0.837090	0.701920	1.593988	0.513200	256	0.015625	relu	xent	sp
13	0.790097	0.716780	1.663521	0.521500	256	0.015625	relu	xent	sp
14	0.755190	0.729940	1.685251	0.520700	256	0.015625	relu	xent	sp
15	0.718566	0.744580	1.752982	0.521400	256	0.015625	relu	xent	sp
16	0.688139	0.754020	1.864394	0.511200	256	0.015625	relu	xent	sp
17	0.652652	0.768380	1.902308	0.519600	256	0.015625	relu	xent	sp
18	0.620156	0.778820	2.030065	0.505000	256	0.015625	relu	xent	sp
19	0.604004	0.787420	2.049497	0.509000	256	0.015625	relu	xent	sp
20	0.577202	0.794500	2.137285	0.520500	256	0.015625	relu	xent	sp
1	1.621176	0.423660	1.459673	0.473200	2048	0.015625	relu	xent	sp
2	1.375025	0.514940	1.421525	0.505500	2048	0.015625	relu	xent	sp
3	1.238717	0.561840	1.341661	0.535200	2048	0.015625	relu	xent	sp
4	1.112789	0.607620	1.394435	0.521100	2048	0.015625	relu	xent	sp
5	0.993010	0.650620	1.363313	0.542300	2048	0.015625	relu	xent	sp
6	0.875954	0.689920	1.422231	0.541200	2048	0.015625	relu	xent	sp
7	0.762236	0.731960	1.490524	0.541100	2048	0.015625	relu	xent	sp
8	0.653887	0.771960	1.555373	0.543400	2048	0.015625	relu	xent	sp
9	0.559584	0.805800	1.666202	0.532800	2048	0.015625	relu	xent	sp
10	0.466446	0.838960	1.783716	0.542000	2048	0.015625	relu	xent	sp
11	0.389903	0.866500	1.858695	0.543000	2048	0.015625	relu	xent	sp
12	0.330705	0.888100	2.061489	0.532300	2048	0.015625	relu	xent	sp
13	0.275265	0.906620	2.149423	0.548600	2048	0.015625	relu	xent	sp
14	0.239826	0.918180	2.225323	0.554100	2048	0.015625	relu	xent	sp
15	0.219208	0.926140	2.292405	0.549200	2048	0.015625	relu	xent	sp
16	0.196740	0.934460	2.423061	0.546000	2048	0.015625	relu	xent	sp
17	0.183085	0.938260	2.625241	0.553000	2048	0.015625	relu	xent	sp
18	0.148659	0.949320	2.696095	0.544600	2048	0.015625	relu	xent	sp
19	0.148480	0.949540	2.783056	0.542900	2048	0.015625	relu	xent	sp
20	0.127969	0.958260	2.863331	0.549600	2048	0.015625	relu	xent	sp
1	1.704780	0.391780	1.568291	0.440800	256	0.031250	relu	xent	sp
2	1.534229	0.457920	1.576162	0.432000	256	0.031250	relu	xent	sp
3	1.452649	0.486480	1.523576	0.477100	256	0.031250	relu	xent	sp
4	1.391819	0.509580	1.537489	0.473400	256	0.031250	relu	xent	sp
5	1.344352	0.528460	1.528622	0.484000	256	0.031250	relu	xent	sp
6	1.299417	0.542020	1.547429	0.482000	256	0.031250	relu	xent	sp
7	1.255176	0.559240	1.570842	0.473500	256	0.031250	relu	xent	sp
8	1.218811	0.571500	1.565020	0.485800	256	0.031250	relu	xent	sp
9	1.171877	0.590820	1.631859	0.482500	256	0.031250	relu	xent	sp
10	1.149865	0.594960	1.611134	0.486800	256	0.031250	relu	xent	sp
11	1.111232	0.610460	1.666231	0.499000	256	0.031250	relu	xent	sp
12	1.083561	0.620480	1.718383	0.480500	256	0.031250	relu	xent	sp
13	1.070136	0.625660	1.679863	0.489300	256	0.031250	relu	xent	sp
14	1.056569	0.633680	1.744129	0.493700	256	0.031250	relu	xent	sp
15	1.026192	0.642460	1.794969	0.487100	256	0.031250	relu	xent	sp
16	1.002115	0.655840	1.820934	0.486100	256	0.031250	relu	xent	sp
17	1.000289	0.656920	1.845774	0.493300	256	0.031250	relu	xent	sp
18	0.972009	0.666220	1.834079	0.479600	256	0.031250	relu	xent	sp
19	0.976039	0.668720	1.876002	0.486100	256	0.031250	relu	xent	sp
20	0.948263	0.674940	2.000938	0.480800	256	0.031250	relu	xent	sp
1	1.657707	0.412140	1.588208	0.454600	2048	0.031250	relu	xent	sp
2	1.463237	0.484960	1.477430	0.484100	2048	0.031250	relu	xent	sp
